Date,Natural_Gas,Crude_oil,Copper,Bitcoin,Platinum,Ethereum,S&P_500,Nasdaq_100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
2/2/2024,2.079,72.28,3.8215,"43,194.70",901.6,"2,309.28","4,958.61","17,642.73",185.85,187.91,411.22,22.796,142.38,661.6,"5,89,498",564.64,171.81,474.99,"2,053.70"
1/2/2024,2.05,73.82,3.8535,"43,081.40",922.3,"2,304.28","4,906.19","17,344.71",186.86,188.86,403.78,23.236,141.16,630.27,"5,81,600",567.51,159.28,394.78,"2,071.10"
31-01-2024,2.1,75.85,3.906,"42,580.50",932.6,"2,283.14","4,848.87","17,137.24",184.4,187.29,397.58,23.169,140.1,615.27,"5,78,020",564.11,155.2,390.14,"2,067.40"
30-01-2024,2.077,77.82,3.911,"42,946.20",931.7,"2,343.11","4,924.97","17,476.71",188.04,191.59,408.59,23.225,151.46,627.74,"5,84,680",562.85,159.0,400.06,"2,050.90"
29-01-2024,2.49,76.78,3.879,"43,299.80",938.3,"2,317.79","4,927.93","17,596.27",191.73,190.93,409.72,23.134,153.51,624.65,"5,78,800",575.79,161.26,401.02,"2,034.90"
26-01-2024,2.712,78.01,3.852,"41,811.30",921.3,"2,267.55","4,890.97","17,421.01",192.42,183.25,403.93,22.758,152.18,610.31,"5,82,300",570.42,159.12,394.14,"2,026.60"
25-01-2024,2.571,77.36,3.869,"39,935.70",894.5,"2,217.71","4,894.16","17,516.99",194.17,182.63,404.87,22.814,151.87,616.17,"5,76,211",562.0,157.75,393.18,"2,027.10"
24-01-2024,2.641,75.09,3.886,"40,086.00",914.9,"2,234.64","4,868.55","17,499.30",194.5,207.83,402.56,22.769,148.7,613.62,"5,70,977",544.87,156.87,390.7,"2,025.40"
23-01-2024,2.45,74.37,3.7935,"39,888.80",905.5,"2,243.74","4,864.60","17,404.21",195.18,209.14,398.9,22.354,147.04,598.73,"5,64,133",492.19,156.02,385.2,"2,035.20"
22-01-2024,2.419,75.19,3.7635,"39,556.40",903,"2,313.64","4,850.43","17,330.38",193.89,208.8,396.51,22.183,145.99,596.54,"5,58,316",485.71,154.78,381.78,"2,031.50"
19-01-2024,2.519,73.41,3.7865,"41,648.00",907,"2,491.81","4,839.81","17,314.01",191.56,212.19,398.67,22.601,146.38,594.91,"5,56,710",482.95,155.34,383.45,"2,038.50"
18-01-2024,2.697,74.08,3.745,"41,292.70",912,"2,469.77","4,780.94","16,982.29",188.63,211.88,393.87,22.699,143.48,571.07,"5,49,477",485.31,153.5,376.13,"2,031.10"
17-01-2024,2.87,72.56,3.733,"42,768.70",889.6,"2,531.26","4,739.21","16,736.28",182.68,215.55,389.47,22.559,141.47,560.53,"5,45,250",480.33,151.71,368.37,"2,015.90"
16-01-2024,2.9,72.4,3.7665,"43,145.50",904.4,"2,588.64","4,762.85","16,830.71",183.63,219.91,390.27,22.983,142.49,563.82,"5,47,520",481.24,153.16,367.46,"2,039.70"
12/1/2024,3.313,72.68,3.7405,"42,835.90",921.1,"2,523.98","4,783.83","16,832.92",185.92,218.89,388.47,23.218,142.65,547.1,"5,51,800",492.16,154.62,374.49,"2,061.10"
11/1/2024,3.097,72.02,3.7765,"46,348.20",919.6,"2,618.08","4,780.24","16,820.90",185.59,227.22,384.63,22.595,142.08,548.22,"5,51,695",492.23,155.18,369.67,"2,028.90"
10/1/2024,3.039,71.37,3.781,"46,629.30",929.6,"2,581.79","4,783.45","16,793.04",186.19,233.94,382.77,22.956,142.28,543.5,"5,57,590",478.33,153.73,370.47,"2,037.50"
9/1/2024,3.19,72.24,3.7585,"46,129.00",943.5,"2,344.67","4,756.50","16,678.70",185.14,234.96,375.79,23.091,140.95,531.4,"5,56,500",482.09,151.37,357.43,"2,033.00"
8/1/2024,2.98,70.77,3.81,"46,962.20",959.4,"2,330.98","4,763.54","16,649.87",185.56,240.45,374.69,23.31,138.84,522.53,"5,58,780",485.03,149.1,358.66,"2,033.50"
5/1/2024,2.893,73.81,3.806,"44,156.90",971.8,"2,268.12","4,697.24","16,305.98",181.18,237.49,367.75,23.315,135.73,490.97,"5,54,300",474.06,145.24,351.95,"2,049.80"
4/1/2024,2.821,72.19,3.844,"44,157.00",966.3,"2,267.27","4,688.68","16,282.01",181.91,237.93,367.94,23.187,136.39,479.98,"5,51,550",474.67,144.57,347.12,"2,050.00"
3/1/2024,2.668,72.7,3.8615,"42,836.10",987.1,"2,209.49","4,704.81","16,368.49",184.25,238.45,370.6,23.157,138.92,475.69,"5,56,050",470.26,148.47,344.47,"2,042.80"
2/1/2024,2.568,70.38,3.8805,"44,943.70",998.3,"2,355.27","4,742.83","16,543.94",185.64,248.42,370.87,23.953,138.17,481.68,"5,49,787",468.5,149.93,346.29,"2,073.40"
29-12-2023,2.514,71.65,3.8915,"42,072.40","1,009.20","2,299.24","4,769.83","16,825.93",192.53,248.48,376.04,24.025,139.69,495.22,"5,42,625",486.88,151.94,353.96,"2,071.80"
28-12-2023,2.557,71.77,3.9245,"42,581.10","1,023.20","2,344.47","4,783.35","16,898.47",193.58,253.18,375.28,24.372,140.23,495.22,"5,45,000",490.51,153.38,358.32,"2,083.50"
27-12-2023,2.619,74.11,3.956,"43,446.50","1,013.50","2,378.63","4,781.58","16,906.80",193.15,261.44,374.07,24.57,140.37,494.17,"5,43,750",491.79,153.34,357.83,"2,083.40"
26-12-2023,2.55,75.57,3.902,"42,513.30",995.6,"2,230.74","4,774.75","16,878.46",193.05,256.61,374.66,24.396,141.52,492.79,"5,43,635",491.19,153.41,354.83,"2,060.40"
22-12-2023,2.61,73.56,3.905,"43,968.90",981.8,"2,324.23","4,754.63","16,777.40",193.6,252.54,374.58,24.565,141.49,488.3,"5,42,600",486.76,153.42,353.39,"2,059.60"
21-12-2023,2.572,73.89,3.9175,"43,865.90",970.3,"2,239.62","4,746.75","16,757.41",194.68,254.5,373.54,24.585,140.42,489.9,"5,41,000",491.61,153.84,354.09,"2,041.80"
20-12-2023,2.447,74.22,3.906,"43,662.80",974,"2,202.19","4,701.19","16,554.16",194.83,247.14,370.62,24.631,138.34,481.11,"5,43,740",489.27,152.12,349.28,"2,038.10"
19-12-2023,2.492,73.44,3.898,"42,259.30",965.8,"2,177.44","4,768.37","16,811.86",196.94,257.22,373.26,24.321,136.65,496.04,"5,54,650",495.02,153.79,350.36,"2,042.60"
18-12-2023,2.503,72.47,3.852,"42,659.70",954.3,"2,218.80","4,740.56","16,729.80",195.89,252.08,372.65,24.107,135.8,500.77,"5,51,182",486.12,154.07,344.62,"2,030.90"
15-12-2023,2.491,71.43,3.8905,"41,929.00",952.6,"2,220.41","4,719.19","16,623.45",197.57,253.5,370.73,24.154,132.6,488.9,"5,44,478",472.06,149.97,334.92,"2,026.00"
14-12-2023,2.392,71.58,3.8925,"43,025.90",967.9,"2,315.64","4,719.55","16,537.83",198.11,251.05,365.93,24.386,131.94,483.5,"5,49,760",469.83,147.42,333.17,"2,035.20"
13-12-2023,2.335,69.47,3.7875,"42,884.50",922.1,"2,260.18","4,707.09","16,562.37",197.96,239.29,374.37,22.921,132.57,480.88,"5,55,800",479.98,148.84,334.74,"1,988.10"
12/12/2023,2.311,68.61,3.7875,"41,487.00",931,"2,203.49","4,643.70","16,354.25",194.71,237.01,374.38,23.016,132.52,476.57,"5,49,240",463.0,147.48,334.22,"1,983.90"
11/12/2023,2.35,71.32,3.7805,"41,256.10",915.7,"2,225.34","4,622.44","16,221.74",193.18,239.74,371.3,23.058,133.29,466.27,"5,46,907",459.89,145.89,325.28,"1,993.70"
8/12/2023,2.504,71.23,3.8305,"44,175.50",919.8,"2,358.42","4,604.37","16,084.69",195.71,243.84,374.23,23.276,134.99,475.06,"5,40,000",453.76,147.42,332.75,"2,014.50"
7/12/2023,2.52,69.34,3.7975,"43,289.70",912,"2,355.80","4,585.59","16,022.49",194.27,242.64,370.95,24.059,136.93,465.96,"5,37,780",452.0,146.88,326.59,"2,046.40"
6/12/2023,2.517,69.38,3.7345,"43,776.30",893.7,"2,233.45","4,549.34","15,788.05",192.32,239.37,368.8,24.228,130.02,455.03,"5,35,220",446.73,144.52,317.45,"2,047.90"
5/12/2023,2.667,72.32,3.784,"44,076.20",906.6,"2,293.34","4,567.18","15,877.71",193.42,238.72,372.52,24.546,130.99,465.66,"5,39,250",455.15,146.88,318.29,"2,036.30"
4/12/2023,2.651,73.04,3.8355,"41,987.80",925.1,"2,243.54","4,569.78","15,839.67",189.43,235.58,369.14,24.907,129.27,455.1,"5,42,395",453.9,144.84,320.02,"2,042.20"
1/12/2023,2.773,74.07,3.9315,"38,688.20",936.1,"2,087.21","4,594.63","15,997.58",191.24,238.83,374.51,25.857,131.86,467.65,"5,42,414",465.74,147.03,324.82,"2,089.70"
30-11-2023,2.802,75.96,3.8505,"37,712.90",935.9,"2,051.56","4,567.78","15,947.87",189.95,240.08,378.91,25.66,132.53,467.7,"5,45,900",473.97,146.09,327.15,"2,057.20"
29-11-2023,2.804,77.86,3.8255,"37,855.50",941.4,"2,028.99","4,550.58","15,987.60",189.37,244.14,378.85,25.443,134.99,481.4,"5,43,905",477.19,146.32,332.2,"2,067.10"
28-11-2023,2.706,76.41,3.8285,"37,823.30",944.7,"2,048.47","4,554.89","16,010.43",190.4,246.72,382.7,25.302,137.2,478.21,"5,46,869",479.0,147.03,338.99,"2,050.50"
27-11-2023,2.794,74.86,3.789,"37,248.60",918,"2,027.51","4,550.43","15,961.98",189.79,236.08,378.61,25.038,136.41,482.42,"5,47,445",479.17,147.73,334.7,"2,023.10"
24-11-2023,2.855,75.54,3.8205,"37,717.30",932.4,"2,080.62","4,559.34","15,980.11",189.97,235.45,377.43,24.692,136.69,477.76,"5,49,500",479.56,146.74,338.23,"2,013.70"
22-11-2023,2.897,77.1,3.797,"37,410.80",925.8,"2,063.05","4,556.62","16,001.39",191.31,234.21,377.85,24.033,138.49,487.16,"5,49,520",478.0,146.71,341.49,"2,003.40"
21-11-2023,2.846,77.77,3.8395,"35,813.60",941.4,"1,934.62","4,538.19","15,933.62",190.64,241.2,373.07,24.221,136.97,499.44,"5,47,625",474.95,143.9,336.98,"2,012.00"
20-11-2023,2.882,77.6,3.8335,"37,454.10",923.4,"2,021.49","4,547.38","16,027.06",191.45,235.6,377.44,23.959,136.25,504.09,"5,47,836",474.47,146.13,339.97,"1,990.70"
17-11-2023,3.131,75.89,3.7345,"36,595.40",905,"1,960.80","4,514.02","15,837.99",189.69,234.3,369.85,23.852,135.31,492.98,"5,44,190",465.91,145.18,335.04,"1,984.70"
16-11-2023,3.239,72.9,3.7025,"36,161.20",898.4,"1,961.76","4,508.24","15,833.17",189.71,233.59,376.17,23.933,136.93,494.8,"5,46,635",466.95,142.83,334.19,"1,987.30"
15-11-2023,3.362,76.66,3.7185,"37,874.90",901.25,"2,058.93","4,502.88","15,817.18",188.01,242.84,369.67,23.538,134.62,488.88,"5,42,500",461.94,143.2,332.71,"1,964.30"
14-11-2023,3.106,78.26,3.6835,"35,549.30",890.7,"1,979.10","4,495.70","15,812.47",187.44,237.41,370.27,23.132,133.62,496.56,"5,37,400",448.65,145.8,336.31,"1,966.50"
13-11-2023,3.197,78.26,3.666,"36,478.30",863.6,"2,054.18","4,411.55","15,482.79",184.8,223.71,366.68,22.358,132.09,486.2,"5,31,288",444.62,142.59,329.19,"1,950.20"
10/11/2023,3.033,77.17,3.587,"37,303.00",845.6,"2,077.78","4,415.24","15,529.12",186.4,214.65,369.67,22.281,132.59,483.35,"5,31,886",447.24,143.56,328.77,"1,937.70"
9/11/2023,3.041,75.74,3.6405,"36,700.50",864.3,"2,120.16","4,347.35","15,187.90",182.41,209.98,360.69,22.905,130.24,469.5,"5,28,225",435.15,140.6,320.55,"1,969.80"
8/11/2023,3.106,75.33,3.638,"35,636.90",871.5,"1,889.29","4,382.78","15,313.24",182.89,222.11,363.2,22.728,131.84,465.74,"5,26,660",436.65,142.08,319.78,"1,957.80"
7/11/2023,3.14,77.37,3.679,"35,426.10",898.55,"1,885.97","4,378.38","15,296.02",181.82,222.18,360.53,22.589,130.97,459.55,"5,25,280",434.61,142.71,318.82,"1,973.50"
6/11/2023,3.264,80.82,3.719,"35,042.00",917.6,"1,900.98","4,365.98","15,154.93",179.23,219.27,356.53,23.234,130.25,457.51,"5,26,450",434.74,139.74,315.8,"1,988.60"
3/11/2023,3.515,80.51,3.6815,"34,718.70",940.95,"1,832.29","4,358.34","15,099.49",176.65,219.96,352.8,23.285,129.1,450.05,"5,33,815",432.36,138.6,314.6,"1,999.20"
2/11/2023,3.472,82.46,3.6725,"34,931.40",930.6,"1,800.27","4,317.78","14,919.54",177.57,218.51,348.32,22.846,127.49,435.06,"5,30,340",424.71,138.07,310.87,"1,993.50"
1/11/2023,3.494,80.44,3.649,"35,423.80",934.9,"1,846.60","4,237.86","14,664.91",173.97,205.66,346.07,22.79,126.45,423.25,"5,23,749",420.19,137.0,311.85,"1,987.50"
31-10-2023,3.575,81.02,3.649,"34,650.60",944.9,"1,815.13","4,193.80","14,409.78",170.77,200.84,338.11,22.952,124.08,407.8,"5,17,825",411.69,133.09,301.27,"1,994.30"
30-10-2023,3.352,82.31,3.6585,"34,477.90",939.9,"1,809.05","4,166.82","14,335.51",170.29,197.36,337.31,23.396,124.46,411.61,"5,13,065",410.08,132.71,302.66,"2,005.60"
27-10-2023,3.164,85.54,3.646,"33,901.80",901.5,"1,779.54","4,117.37","14,180.42",168.22,207.3,329.81,22.774,122.17,405.0,"5,03,375",397.87,127.74,296.73,"1,989.00"
26-10-2023,3.214,83.21,3.5845,"34,153.70",909,"1,803.13","4,137.23","14,109.57",166.89,205.76,327.89,22.795,122.28,403.26,"5,10,125",403.54,119.57,288.35,"1,987.90"
25-10-2023,3.01,85.39,3.591,"34,496.80",912.4,"1,787.00","4,186.77","14,381.64",171.1,212.42,340.67,22.895,125.61,417.79,"5,12,400",411.25,121.39,299.53,"1,985.50"
24-10-2023,2.971,83.74,3.624,"33,917.00",891.9,"1,784.88","4,247.68","14,745.86",173.44,216.52,330.53,22.999,138.81,436.63,"5,16,250",413.73,128.56,312.55,"1,976.80"
23-10-2023,2.926,85.49,3.5865,"33,041.80",905,"1,763.75","4,217.04","14,604.85",173.0,212.08,329.32,23.095,136.5,429.75,"5,12,500",406.84,126.56,314.01,"1,978.20"
20-10-2023,2.899,88.75,3.563,"29,674.50",905.1,"1,603.89","4,224.16","14,560.88",172.88,211.99,326.67,23.504,135.6,413.87,"5,11,000",400.96,125.17,308.65,"1,994.40"
19-10-2023,2.957,89.37,3.601,"28,723.00",898.2,"1,566.79","4,278.00","14,783.13",175.46,220.11,331.32,23.031,137.75,421.01,"5,15,550",401.77,128.4,312.81,"1,980.50"
18-10-2023,3.056,88.32,3.587,"28,321.70",894.3,"1,563.43","4,314.60","14,909.26",175.84,242.68,330.11,23.099,137.96,421.96,"5,18,145",346.19,128.13,316.97,"1,968.30"
17-10-2023,3.079,86.66,3.5785,"28,403.60",906.2,"1,564.99","4,373.20","15,122.01",177.15,254.85,332.06,23.024,139.72,439.38,"5,27,750",355.72,131.47,324.0,"1,935.70"
16-10-2023,3.109,86.66,3.582,"28,509.70",899.4,"1,599.48","4,373.63","15,172.73",178.72,253.92,332.64,22.765,139.1,460.95,"5,27,475",360.82,132.55,321.15,"1,934.30"
13-10-2023,3.236,87.69,3.571,"26,863.50",884.2,"1,552.17","4,327.78","14,995.12",178.85,251.12,327.73,22.895,137.36,454.61,"5,22,700",355.68,129.79,314.69,"1,941.50"
12/10/2023,3.344,82.91,3.591,"26,761.10",875.8,"1,539.70","4,349.61","15,184.10",180.71,258.87,331.16,21.959,138.97,469.45,"5,24,517",361.2,132.33,324.16,"1,883.00"
11/10/2023,3.377,83.49,3.612,"26,876.60",893,"1,566.88","4,376.95","15,241.12",179.8,262.99,332.42,22.133,140.55,468.06,"5,28,820",365.93,131.83,327.82,"1,887.30"
10/10/2023,3.382,85.97,3.634,"27,391.00",890.2,"1,567.60","4,358.24","15,131.52",178.39,263.62,328.39,21.953,138.06,457.98,"5,28,530",373.32,129.48,321.84,"1,875.30"
9/10/2023,3.376,86.38,3.646,"27,581.40",888.8,"1,579.74","4,335.66","15,047.16",178.99,259.67,329.82,21.924,138.42,452.73,"5,23,690",385.95,128.26,318.36,"1,864.30"
6/10/2023,3.338,82.79,3.6275,"27,936.90",881.5,"1,645.62","4,308.50","14,973.24",177.49,260.53,327.26,21.723,137.58,457.62,"5,25,425",381.51,127.96,315.43,"1,845.20"
5/10/2023,3.166,82.31,3.552,"27,410.30",862.5,"1,611.58","4,258.19","14,723.22",174.91,260.05,319.36,21.019,135.07,446.88,"5,23,545",372.59,125.96,304.79,"1,831.80"
4/10/2023,2.962,84.22,3.589,"27,790.90",874.2,"1,647.05","4,263.75","14,776.25",173.66,261.16,318.95,21.146,135.24,440.41,"5,21,675",376.9,127.0,305.58,"1,834.80"
3/10/2023,2.949,89.23,3.621,"27,428.40",879.6,"1,656.88","4,229.45","14,565.62",172.4,246.53,313.39,21.377,132.43,435.17,"5,21,919",376.75,124.72,300.94,"1,841.50"
2/10/2023,2.84,88.82,3.6415,"27,505.30",886.8,"1,662.79","4,288.39","14,837.57",173.75,251.6,321.8,21.421,134.17,447.82,"5,27,960",380.33,129.46,306.82,"1,847.20"
29-09-2023,2.929,90.79,3.7375,"26,909.80",915.9,"1,667.72","4,288.05","14,715.24",171.21,250.22,315.75,22.45,130.86,434.99,"5,31,477",377.6,127.12,300.21,"1,866.10"
28-09-2023,2.945,91.71,3.708,"27,022.60",915.1,"1,652.89","4,299.70","14,702.77",170.69,246.38,313.64,22.741,132.31,430.89,"5,41,105",376.36,125.98,303.96,"1,878.60"
